A08,гастроентеропатия
A17,туберкулом
A26,еризипел
A66,латентна левостранна хемипареза
A66,десностранна латентна хемипареза
A66,левостранно варикоцеле
A66,лед
B18,хроничен хепатит в
B18,хроничен вирусен хепатит с
B19,хепатит б
B30,кератоконюнктивит
D18,хемангиоми в черния дроб
D18,хемангиом на черния дроб
D18,хемангиома хепатис
D18,хемангиом на л1 и л4
D18,хемангиом на т4
D18,хемангиоми в слезката
D18,рекуренс хемангиом на черния дроб
D47,есенциална тромбоцитемия
D50,вторична- желязодефицитна анемия
D50,вторична желязодефицитна анемия
D56,бета-таласемия минор
D56,бета-таласемия (хетерозиготна форма)
D56,бета-хетерозиготна таласемия
D56,бета таласемия минор
D56,таласемия минор
D56,таласемия майор
D56,таласимия минор
D56,таласемия
D58,хемолитична анемия
D59,пароксизмална надкамерна тахикардия
D69,тромбоцитопения есенциалис
D69,тромбоцитопения
D73,хиперспленизъм
D73,хиперспленизмус
D75,тромбоцитоза
D86,саркоидоза
D86,саркоидозис
E00,йод- индуциран хипертиреоидизъм
E01,дифузна струма iа степен - хипотиреоидизъм
E01,дифузна струма Іст
E01,дифузна еутироидна струма Іб ст
E01,дифузна струма І а ст - еутиреоидна
E01,дифузна струма І в ст
E01,дифузна струма 1ст
E01,дифузна струма 1аст
E01,дифузна струма 1 а ст
E01,дифузна струма
E01,дифузна струма гр. 1а
E01,дифузна струма гр i а
E01,дифузна струма Ібст
E01,дифузна струма І б ст-еутиреоидна
E01,дифузна еутиреоидна струма iбст
E01,дифузна еутиреоидна струма
E01,еутиреоидна дифузна струма Іб степен
E01,дифузна струма Іа
E01,дифузна струма i а ст
E01,дифузна струма iа степен
E01,дифузна еутиреоидна струма ІІст
E01,дифузна струма - ii ст
E01,дифузна еутиреоидна струма
E01,дифузна струма- i ст
E01,дифузна еутиреоидна струма Іб степен
E01,дифузна струма- iа степен
E01,дифузна еутиреоидна струма iа степен
E01," дифузна струма 1б ст, еутиреоидно състояние "
E01,дифузна еутиреоидна струма ІІ ст
E01,дифузна струма 1аст- субклиничен хипотиреоидизъм
E01,дифузна струма първа а степен
E01,дифузна еутиреоидна струма ii ст
E01,дифузна еутиреоидна струма i а
E01,дифузна струма-Іст-
E01,дифузна струма гр. iа
E01,дифузна еутиреоидна струма iа ст
E01,про струма нодоза
E01,струма нодоза гр
E01,струма нодоза І б- еутироидна
E01,жлеза по повод нодозна струма
E01,струма нодоза гр. -Іб
E01,струма нодоза І б еутиреоидес
E01,струма нодоза рецидива гр. Іб
E01,струма нодоза ib-еутиреоидес
E01,рецидивна нодозна струма- еутиреоидна
E01,струма нодоза iв-еутиреоидно състояние
E01,струма нодоза ІІ ст (еутиреоидна)
E01,струма нодоза Ів- еутиреоидна
E01,нодозна струма І в гр
E01," струма нодоза гр1б-2/ базедовификата, в терапевтична ремисия "
E01," струма нодоза гр І-б-ІІ, базедовификата, в терапевтичвна ремисия "
E01,струма нодоза І в (еутиреоидно състояние)
E01,нодозна еутиреоидна струма - Іб ст
