Бластомикоза и болест на Чикаго ,B40
Бластомикоза и болест на Гилкристите ,B40
Бластомикоза и северноамериканска ,B40
Лайсна зараза и въшки ,B85
Лека зараза и педикулоза и фтирус ,B85
Дисплазия с къси ребра с или без полидактилия ,Q77
остра миелоидна левкемия с inv3 p21; q26.2 или t 3; 3 p21; q26.2 ,C92
Супуративен отит и / или ляв и / или гноен отит,H66
Супуративен отит и / или десен и / или гноен отит,H66
AML с анормални еозинофили от костен мозък inv 16 p13q22 или t 16; 16 p13; q22 ,C92
остра миелоидна левкемия с анормални еозинофили от костен мозък inv 16 p13q22 или t 16; 16 p13; q22 ,C92
Липса или загуба на сексуално желание,F52
Чиста или сложна фамилна спастична параплегия,G11
чиста или сложна Х-свързана спастична параплегия,G11
чиста или сложна наследствена спастична параплегия,G11
Чиста или сложна X-свързана спастична параплегия,G11
чиста или сложна автозомна доминантна спастична параплегия,G11
чиста или сложна автозомно-рецесивна спастична параплегия,G11
"интерстициална болест на белите дробове, свързана с лекарства или радиация",J70
Индуциран с лекарства или токсини PAH,I27
Шеста или абдуцирана нервна парализа,H49
остър или хроничен холецистит,K81
"белодробна артериална хипертония, предизвикана от наркотици или токсини",I27
Обрив от пелена или салфетка,L22
Еритема от памперс или салфетка,L22
психическо или поведенческо разстройство,F00
психическо или поведенческо разстройство,F99
Секторни или дъгови дефекти на зрителното поле,H53
Анемия с дефицит на фолиева киселина или фолиева киселина NOS,D52
серозен или муцинозен цистаденом от детството,D27
Тежка или пълна загуба на двигателната функция в долните крайници и долните части на багажника,G82
Атрезия или стеноза на нарушение на NOS на аортата ,Q25
болест или разстройство,N18
Rp със или без Pprpe,H35
"заболяване или разстройство, неопластично",N18
Нарушения на щитовидната жлеза или други жлези,E34
Ектазия или варикс на вената на Гален,Q28
Дифузна или дисеминирана вътресъдова коагулация,D65
макулен или парамакуларен фокален ретинит и ретинохороидит,H30
Rp със или без запазен параартериолен епител на ретината,H35
Климатично или тропическо бубо,A55
синдром на непълнолетни или възрастни CACH,E75
Пълна или непълна цветна слепота,H53
аневризма или дилатация на възходяща аорта,Q25
Стеноза или атрезия на коронарния остиум,Q24
стеноза или атрофия на коронарния остиум,Q24
Фамилна или идиопатична дилатационна кардиомиопатия,I42
Торакална или лумбална спондилоза с миелопатия,M47
Болест на Wolman или триглицериди тип III,E75
Пед със или без епилепсия и / или хемолитична анемия,G24
ASD със или без дефекти на атриовентрикуларна проводимост,Q21
Основна или прогресивна атрофия на ириса,H21
"Артрит или полиартрит, ревматичен",M06
Папиларен или фоликуларен карцином на щитовидната жлеза,C73
Гранична или диморфна проказа,A30
нарушение на рефракция или акомодация,H52
Трикратно клапан с разтягане или преобръщане,Q22
Вродена или инфантилна запушване на ануса,Q42
КАКУТ със или без очни нарушения,Q60
вроден или ранен инфантилен CACH синдром,E75
Ятрогенен или травматичен дефицит на хипофизата,E23
едностранна или асиметрична вродена глухота,H90
Вродена или инфантилна стриктура на пилорус,Q40
качествени или количествени дефекти на алфа-дистрогликана,G71
Макулна киста или дупка,H35
Шпиндел и / или епителиоидна клетка Nevus,Q82
Анизометропия или нарушение на анисекония NOS ,H52
мигрена със или без аура,G43
хронично нарушение на двигателните или гласовите тикове,F95
Микротия със или без слухово увреждане,Q87
"Прееклампсия или еклампсия, наслагвана върху съществуваща хипертония",O14
"Прееклампсия или еклампсия, наслагвана върху съществуваща хипертония",Ø14
окулокутанен или очен албинизъм,E70
цепка на устната с или без цепно небце,Q36
цепка на устната с или без цепно небце,Q37
"Дефект, патент или постоянен, ostium secundum",Q21
Тумор или лимфом на Бъркит,C83
Паротидна аплазия или хипоплазия,Q10
Паротидна аплазия или хипоплазия,Q38
Миокимия 1 С или без хипомагнезиемия,G11
Болест на Алперс или дегенерация на сива материя,G31
анормален произход или аберантен ход на коронарната артерия,Q24
Треска: коремен тиф или ентерит ,A01
"фокална, сегментарна или мултифокална дистония",G24
катаракта 40 с или без микрокорнея,Q12
следродилен оток или прекомерно наддаване на тегло,O99
Ахилесов бурсит или тендинит,M76
"Перинеални, скротални или пенокротални хипоспадии",Q54
"микроцефалия с или без хориоретинопатия, лимфедем или умствена изостаналост",Q87
Преаурикуларен синус или фистула,H60
"Фрамбезия, начална или първична",A66
Преаурикуларен синус или фистула,H61
Системна склероза или системна склеродермия,M34
Нарушение на метаболизма на пурин или пиримидин,E79
фамилен папиларен или фоликуларен карцином на щитовидната жлеза,C73
автозомно-доминантна или болест на Pelizaeus-Merzbacher с късно начало,E75
Фибуларна хипоплазия или синдром на аплазия-феморален поклон-олигодактилия,Q74
Надбъбречна хипертрофия или разстройство на хиперплазия ,E25
Преобразувателна истерия или реакция,F44
Стриктура на часовник или стеноза на стомаха,K31
"Макулна киста, дупка или псевдохоле на ретината",H35
DORV със субаортен или двойно ангажиран VSD,Q20
първични качествени или количествени дефекти на алфа-дистрогликана,G71
DORV със субаортен или двойно ангажиран VSD с белодробна стеноза,Q20
DORV със субаортен или двойно ангажиран VSD с белодробна стеноза,Q21
"Синдром на унилоблиран или липсващ тимус, бъбречна и уретера агенеза / дисгенеза и вътрематочно забавяне на растежа IUGR ",Q87
"очен колобом със или без увреждане на слуха, цепка на устните / небцето и / или умствена изостаналост",Q12
Други разстройства на хориоретинит или ретинохороидит NOS ,H30
Синдром или дефект на Taussig-Bing,Q20
Мембраната на Bowman се сгъва или разкъсва,H18
Психоза или синдром на Корсаков,R41
Психоза или синдром на Корсаков,F04
дегенерация на макула или нарушение на NOS на задния полюс ,H35
болест на манипулаторите на корк или белия дроб,J67
Парализа на червата или дебелото черво,K56
Газова инфекция или гангрена,A48
дегенерация на макула или заден полюс,H35
Глюкоза: непоносимост или малабсорбция ,R73
хиперферритинемия със или без катаракта,H26
фамилна клекална крака със или без свързани аномалии на долните крайници,Q66
Камък от слюнчена жлеза или канал,K11
Мембраната на Боуман се сгъва или разкъсва,H18
Перцептивна загуба на слуха или глухота,H90
Перцептивна загуба на слуха или глухота,H91
Уилмс тумор и псевдо- или истински хермафродитизъм,N04
