A00,Холера
A00.0,"Холера, предизвикана от холерен вибрион 01, биовар cholerae"
A00.1,"Холера, предизвикана от холерен вибрион 01, биовар eltor"
A00.9,"Холера, неуточнена"
A01,Тиф и паратиф
A01.0,Коремен тиф
A01.1,Паратиф А
A01.2,Паратиф В
A01.3,Паратиф С
A01.4,"Паратиф, неуточнен"
A02,Други салмонелозни инфекции
A02.0,Салмонелозен ентерит
A02.1,Салмонелозна септицемия
A02.2,Локализирана салмонелозна инфекция
A02.8,Друга уточнена салмонелозна инфекция
A02.9,"Салмонелозна инфекция, неуточнена"
A03,Шигелоза
A03.0,"Шигелоза, предизвикана от Shigella dysenteriae"
A03.1,"Шигелоза, предизвикана от Shigella flexneri"
A03.2,"Шигелоза, предизвикана от Shigella boydii"
A03.3,"Шигелоза, предизвикана от Shigella sonnei"
A03.8,Друга шигелоза
A03.9,"Шигелоза, неуточнена"
A04,Други бактериални чревни инфекции
A04.0,"Ентеропатогенна инфекция, предизвикана от Escherichia coli"
A04.1,"Ентеротоксигенна инфекция, предизвикана от Escherichia coli"
A04.2,"Ентероинвазивна инфекция, предизвикана от Escherichia coli"
A04.3,"Ентерохеморагична инфекция, предизвикана от Escherichia coli"
A04.4,"Други чревни инфекции, предизвикани от Escherichia coli"
A04.5,"Ентерит, предизвикан от Campylobacter"
A04.6,"Ентерит, предизвикан от Yersinia enterocolitica"
A04.7,"Ентероколит, предизвикан от Clostridium difficile"
A04.8,Други уточнени бактериални чревни инфекции
A04.9,"Бактериална чревна инфекция, неуточнена"
A05,Други бактериални хранителни отравяния
A05.0,Стафилококово хранително отравяне
A05.1,Ботулизъм
A05.2,"Хранително отравяне, предизвикано от Clostridium perfringens [Clostridium welchii]"
A05.3,"Хранително отравяне, предизвикано от Vibrio parahaemolyticus"
A05.4,"Хранително отравяне, предизвикано от Bacillus cereus"
A05.8,Други уточнени бактериални хранителни отравяния
A05.9,"Бактериално хранително отравяне, неуточнено"
A06,Амебиаза
A06.0,Остра амебна дизентерия
A06.1,Хронична чревна амебиаза
A06.2,Амебен недизентериен колит
A06.3,Амебом на чревния тракт
A06.4,Амебен абсцес на черния дроб
A06.5,Амебен абсцес на белия дроб (J99.8*)
A06.6,Амебен абсцес на главния мозък (G07*)
A06.7,Кожна амебиаза
A06.8,Амебна инфекция с друга локализация
A06.9,"Амебиаза, неуточнена"
A07,Други протозойни чревни болести
A07.0,Балантидиаза
A07.1,Жиардиаза [ламблиаза]
A07.2,Криптоспоридиоза
A07.3,Изоспороза
A07.8,Други уточнени протозойни чревни болести
A07.9,"Протозойна чревна болест, неуточнена"
A08,Вирусни и други уточнени чревни инфекции
A08.0,Ротавирусен ентерит
A08.1,"Остра гастроентеропатия, предизвикана от Norwalk вирус"
A08.2,Аденовирусен ентерит
A08.3,Други вирусни ентерити
A08.4,"Вирусна чревна инфекция, неуточнена"
A08.5,Други уточнени чревни инфекции
A09,Диария и гастроентерит с предполагаем инфекциозен произход
A15,"Туберкулоза на дихателните органи,  потвърдена бактериологично  и хистологично"
A15.0,"Туберкулоза на белите дробове, потвърдена бактериоскопично с наличие или отсъствие на културелен растеж"
A15.1,"Туберкулоза на белите дробове, потвърдена само с културелен растеж"
A15.2,"Туберкулоза на белите дробове, потвърдена хистологично"
A15.3,"Туберкулоза на белите дробове, потвърдена с неуточнени методи"
A15.4,"Туберкулоза на интраторакалните лимфни възли, потвърдена бактериологично и хистологично"
A15.5,"Туберкулоза на ларинкса, трахеята и бронхите, потвърдена бактериологично и хистологично"
A15.6,"Туберкулозен плеврит, потвърден бактериологично и хистологично"
A15.7,"Първична туберкулоза на дихателните органи, потвърдена бактериологично и хистологично"
A15.8,"Туберкулоза на други дихателни органи, потвърдена бактериологично и хистологично"
A15.9,"Туберкулоза на дихателни органи с неуточнена локализация, потвърдена бактериологично и хистологично"
A16,"Туберкулоза на дихателните органи,  непотвърдена бактериологично  или хистологично"
A16.0,Туберкулоза на белите дробове с отрицателни бактериологични и хистологични изследвания
A16.1,Туберкулоза на белите дробове без провеждане на бактериологични и хистологични изследвания
A16.2,Туберкулоза на белите дробове без указание за бактериологично или хистологично потвърждаване
A16.3,"Туберкулоза на интраторакалните лимфни възли, без указание за бактериологично или хистологично потвърждаване"
A16.4,"Туберкулоза на ларинкса, трахеята и бронхите, без указание за бактериологично или хистологично потвърждаване"
A16.5,"Туберкулозен плеврит, без указание за бактериологично или хистологично потвърждаване"
A16.7,"Първична туберкулоза на дихателните органи, без указание за бактериологично или хистологично потвърждаване"
A16.8,"Туберкулоза на други дихателни органи, без указание за бактериологично или хистологично потвърждаване"
A16.9,"Туберкулоза на дихателните органи с неуточнена локализация, без указание за бактериологично или хистологично потвърждаване"
A17,Туберкулоза на нервната система
A17.0,Туберкулозен менингит (G01*)
A17.1,Менингеална туберкулома (G07*)
A17.8,Туберкулоза на нервната система с друга локализация
A17.9,"Туберкулоза на нервната система, неуточнена (G99.8*)"
A18,Туберкулоза на други органи
A18.0,Туберкулоза на костите и ставите
A18.1,Туберкулоза на пикочо-половите органи
A18.2,Туберкулозна периферна лимфоаденопатия
A18.3,"Туберкулоза на червата, перитонеума и мезентериалните лимфни възли"
A18.4,Туберкулоза на кожата и подкожната тъкан
A18.5,Туберкулоза на окото
A18.6,Туберкулоза на ухото
A18.7,Туберкулоза на надбъбреците (E35.1*)
A18.8,Туберкулоза на други уточнени органи
A19,Милиарна туберкулоза
A19.0,Остра милиарна туберкулоза с една уточнена локализация
A19.1,Остра милиарна туберкулоза с множествена локализация
A19.2,Остра милиарна туберкулоза с неуточнена локализация
A19.8,Други форми на милиарна туберкулоза
A19.9,Милиарна туберкулоза с неуточнена локализация
A20,Чума
A20.0,Бубонна чума
A20.1,Целуларно-кожна чума
A20.2,Белодробна чума
A20.3,Чумен менингит
A20.7,Септична чума
A20.8,Други форми на чума
A20.9,"Чума, неуточнена"
A21,Туларемия
A21.0,Улцеро-жлезна туларемия
A21.1,Очно-жлезна туларемия
A21.2,Белодробна туларемия
A21.3,Гастроинтестинална туларемия
A21.7,Генерализирана туларемия
A21.8,Други форми на туларемия
