
диагноза,ICD
Буба,A66
Ендемични трепонематози,A66
frambesia,A66
frambesia tropica,A66
frambosie,A66
полипапиломен тропикум,A66
thymosis,A66
Инфекция с Treponema pertenue,A66
рубеола,B05
заразно заболяване с вируса на морбили,B05
морбили, рубеола,B05
морбили,B05
Инфекция с рубеола,B05
артериосклероза,I70
Артериална склероза,I70
Артериосклероза (морфологична аномалия),I70
Артериосклероза NOS,I70
Артериосклеротична съдова болест,I70
Артериосклеротично съдово заболяване (разстройство),I70
Артериосклеротична съдова болест NOS,I70
Съдова склероза,I70
drepanocytosis,D57
Hb SC заболяване,D57
Hb-S / Hb-C болест,D57
Hb-SS заболяване без криза,D57
Болест на хемоглобина S без криза,D57
Болест на хемоглобина S без криза (разстройство),D57
хемоглобин SC заболяване,D57
SCA,D57
Сингъл,D57
болест на клетъчните клетки,D57
сърповидно-клетъчна анемия,D57
сърповидно-клетъчна болест,D57
сърповидно-клетъчна анемия,D57
Серповидноклетъчно заболяване, SCD,D57
Серповидно-клетъчна / Hb-C болест без криза,D57
екстрофия на пикочния мехур,Q64
Инфекция поради Aspergillus,B44
АХОНДРОПЛАЗИЯ, СЕВЕРА, С РАЗВИТИЕ ЗА УВРЕЖДАНЕ И НИГРИКАНИ НА АКАНТОЗА,Q77
АХОНДРОПЛАЗИЯ, СЕВЕРА, С РАЗВИТИЕ НА ЗАБАВАНЕ И НИГРИКАНИ НА АКАНТОЗА; SADDAN,Q77
SADDAN,Q77
SADDAN дисплазия,Q77
тежка ахондроплазия със забавяне на развитието и акантоза нигериканс,Q77
AML,C92
Остра миелоидна левкемия,C92
Остра миелоидна левкемия (AML),C92
Остра гранулоцитна левкемия,C92
остра миелобластна левкемия,C92
Остра миелоцитна левкемия,C92
остра миелогенна левкемия,C92
Остра миелогенна левкемия; AML,C92
Остри миелогенни левкемии,C92
остра миелоидна левкемия,C92
Остра не лимфобластна левкемия,C92
Остра нелимфоцитна левкемия,C92
AML - остра миелоидна левкемия,C92
ANLL,C92
Хематопоетична - остра милеогенна левкемия (AML),C92
Левкемия, остър миелоген,C92
ЛЮКЕМИЯ, АКУТЕН МИЕЛОИД,C92
Левкемия, остър миелоид, податливост към,C92
ЛЮКЕМИЯ, АКУТЕН МИЕЛОИД; AML,C92
Левкемия, миелоцитна, остра,C92
миелоидна левкемия, остра,C92
Kd,M30
Болест на Кавасаки,M30
остър фебрилен MCLS,M30
синдром на остър фебрилен лигавичен лимфен възел,M30
синдром на остър фебрилен лигавичен лимфен възел [MCLS],M30
Инфантилен полиартерит,M30
Инфантилен полиартерит Nodosa,M30
БОЛЕСТ НА КАВАСАКИ,M30
Болест на Kawasaki, KD,M30
MLNS,M30
синдром на лигавичните лимфни възли,M30
„Арлекин плод“,Q80
ARCI4B,Q80
автозомно-рецесивна вродена ихтиоза 4В,Q80
автозомно-рецесивна вродена ихтиоза тип 4В,Q80
арлекинова ихтиоза,Q80
тип арлекин ихтиоза вродена,Q80
тип арлекин ихтиоза феталис,Q80
HI,Q80
Ихтиоза конгенита, тип арлекин плод,Q80
Ихтиоза вродена, тип Арлекин,Q80
Ихтиоза феталис, тип Арлекин,Q80
ИХТИОЗА, КОНГЕНИТАЛНА, АВТОМОЗИЧНА РЕКСИВНА 4В,Q80
ИХТИОЗА, КОНГЕНИТАЛНА, АВТОМОЗИЧНА РЕКСИВНА 4В; ARCI4B,Q80
Ихтиоза, вродена, автозомно-рецесивна тип 4В,Q80
Г-Н,Q23
Вродена недостатъчност на митралната клапа,Q23
Вродена недостатъчност на митралната клапа (нарушение),Q23
вродена митрална недостатъчност,Q23
вродена митрална регургитация,Q23
детско разстройство на флуидността,F80
семейно упорито заекване,F80
заекване,F80
Затъващ симптом,F80
заекване,F80
Pseudomyxoma peritonei (разстройство),С78
Pseudomyxoma peritonei (морфологична аномалия),С78
Добре диференциран перитонеален муцинозен аденокарцином,С78
DUBOWITZ СИНДРОМ,Q87
Синдром на Дъбовиц,Q87
Синдром на Дюбовиц (разстройство),Q87
Своеобразен фациален синдром на джуфизъм-екзема,Q87
Вътреутробно забавяне на растежа, нисък ръст, микроцефалия, лека умствена изостаналост с проблеми в поведението, екзема и необичайни и отличителни личи,Q87
В. различен колит,A04
В. различна инфекция,A04
Clostridium difficile Инфекция,A04
Псевдомембранозен колит,A04
до clostridium difficile,A04
Дефицит на ARSB,E76
дефицит на арилсулфатаза В,E76
Дефицит на ASB,E76
дефицит на N-ацетилгалактозамин-4-сулфатаза,E76
дефицит на N-ацетилгалактозамин-4-сулфатаза (разстройство),E76
Марото - синдром на Лами,E76
Болест на Марото-Лами,E76
Синдром на Maroteaux-Lamy,E76
Mps 6,E76
MPS VI,E76
MPS VI - синдром на Maroteaux-Lamy,E76
MPS6,E76
MPSVI,E76
Мукополизахаридоза тип VI,E76
МУКОПОЛИЗАХАРИДОЗА ТИП VI; MPS6,E76
мукополизахаридоза VI,E76
Дефицит на N-ацетилгалактозамин 4-сулфатаза,E76
Дефицит на N-ацетилгалактозамин-4-сулфатаза,E76
мозъчно увреждане,G93
мозъчно заболяване,G93
мозъчна неизправност,G93
заболяване на мозъка,G93
разстройство на мозъка,G93
енцефалопатия,G93
Недостатъчност, Митрал,Q23
Митрална недостатъчност,Q23
Митрална недостатъчност, MI,Q23
митрална регургитация,Q23
Некомпетентност на митралната клапа,Q23
атопичен дерматит и свързани състояния,L20
Атопичен дерматит,L20
алергичен,L20
Пруриго на Бесние,L20
Алергична (вътрешна) екзема (разстройство),L20
алергичен дерматит,L20
Атопичен дерматит (разстройство),L20
Атопичен дерматит NOS (разстройство),L20
атопична екзема,L20
Атопичен невродерматит,L20
Атопичен невродерматит (разстройство),L20
Пруриго на Беснее (разстройство),L20
LCM,С83
Класически мантотен клетъчен лимфом,С83
Мантиен клетъчен лимфом,С83
Мантиен клетъчен лимфом, MCL,С83
Лимфом на зоната на мантията,С83
МКЛ,С83
нарушение на метаболизма на порфирина и подгъва,E80
нарушение на метаболизма на порфирина и хема,E80
нарушение на метаболизма на порфирина,E80
Hematoporphyria,E80
порфирии,E80
Акнето вариолиформис,L70
акне вулгарис,L70
АКНЕ, възрастни,L70
Акнето, неуточнено,L70
Неопределени акне (разстройство),L70
frontalis акне,L70
кетоацидурия с разклонена верига,E71
дефицит на дихидролипоамид дехидрогеназа,E71
Ketoacidaemia,E71
Заболяване на урина от кленов сироп; MSUD,E71
MSUD, болест на урината от кленов сироп,E71
Ags,G31
AGS1,G31
AICARDI-GOUTIERES СИНДРОМ 1,G31
Синдром 1 на Aicardi-Goutieres 1, Автозомно доминиращо,G31
AICARDI-GOUTIERES СИНДРОМ 1; AGS1,G31
Синдром на Aicardi-Goutieres тип 1,G31
Aicardi - синдром на GoutiÃ¨res,G31
Кричен енцефалит,G31
Енцефалопатия, фамилна инфантилна, с вътречерепна калцификация и хронична цереброспинална течна лимфоцитоза,G31
Синдром на псевдотоксоплазмоза,G31
Агенеза на телесното тяло с хориоретинална аномалия,Q04
