A08.1, гастроентеропатия 
A17.1, туберкулом 
A26.0, еризипел 
A66.8, латентна левостранна хемипареза 
A66.8, десностранна латентна хемипареза 
A66.8, левостранно варикоцеле
A66.8, лед 
B18.0, хроничен хепатит в 
B18.2, хроничен вирусен хепатит с 
B19.9, хепатит б 
B30.0, кератоконюнктивит 
D18.0, хемангиоми в черния дроб 
D18.0, хемангиом на черния дроб 
D18.0, хемангиома хепатис
D18.0, хемангиом на л1 и л4 
D18.0, хемангиом на т4 
D18.0, хемангиоми в слезката 
D18.0, рекуренс хемангиом на черния дроб 
D47.3, есенциална тромбоцитемия 
D50.0, вторична- желязодефицитна анемия 
D50.0, вторична желязодефицитна анемия 
D56.1, бета-таласемия минор 
D56.1, бета-таласемия (хетерозиготна форма) 
D56.1, бета-хетерозиготна таласемия 
D56.1, бета таласемия минор 
D56.9, таласемия минор 
D56.9, таласемия майор 
D56.9, таласимия минор
D56.9, таласемия 
D58.9, хемолитична анемия 
D59.5, пароксизмална надкамерна тахикардия 
D69.6, тромбоцитопения есенциалис 
D69.6, тромбоцитопения 
D73.1, хиперспленизъм 
D73.1, хиперспленизмус
D75.2, тромбоцитоза 
D86.0, саркоидоза 
D86.0, саркоидозис
E00.0, йод- индуциран хипертиреоидизъм 
E01.0, дифузна струма iа степен - хипотиреоидизъм 
E01.0, дифузна струма Іст 
E01.0, дифузна еутироидна струма Іб ст 
E01.0, дифузна струма І а ст - еутиреоидна 
E01.0, дифузна струма І в ст 
E01.0, дифузна струма 1ст 
E01.0, дифузна струма 1аст 
E01.0, дифузна струма 1 а ст 
E01.0, дифузна струма 
E01.0, дифузна струма гр. 1а 
E01.0, дифузна струма гр i а 
E01.0, дифузна струма Ібст 
E01.0, дифузна струма І б ст-еутиреоидна 
E01.0, дифузна еутиреоидна струма iбст 
E01.0, дифузна еутиреоидна струма 
E01.0, еутиреоидна дифузна струма Іб степен 
E01.0, дифузна струма Іа 
E01.0, дифузна струма i а ст 
E01.0, дифузна струма iа степен 
E01.0, дифузна еутиреоидна струма ІІст 
E01.0, дифузна струма - ii ст 
E01.0, дифузна еутиреоидна струма
E01.0, дифузна струма- i ст 
E01.0, дифузна еутиреоидна струма Іб степен 
E01.0, дифузна струма- iа степен 
E01.0, дифузна еутиреоидна струма iа степен 
E01.0," дифузна струма 1б ст, еутиреоидно състояние "
E01.0, дифузна еутиреоидна струма ІІ ст 
E01.0, дифузна струма 1аст- субклиничен хипотиреоидизъм 
E01.0, дифузна струма първа а степен 
E01.0, дифузна еутиреоидна струма ii ст 
E01.0, дифузна еутиреоидна струма i а 
E01.0, дифузна струма-Іст- 
E01.0, дифузна струма гр. iа 
E01.0, дифузна еутиреоидна струма iа ст 
E01.1, про струма нодоза 
E01.1, струма нодоза гр 
E01.1, струма нодоза І б- еутироидна 
E01.1, жлеза по повод нодозна струма 
E01.1, струма нодоза гр. -Іб 
E01.1, струма нодоза І б еутиреоидес 
E01.1, струма нодоза рецидива гр. Іб 
E01.1, струма нодоза ib-еутиреоидес 
E01.1, рецидивна нодозна струма- еутиреоидна 
E01.1, струма нодоза iв-еутиреоидно състояние 
E01.1, струма нодоза ІІ ст (еутиреоидна) 
E01.1, струма нодоза Ів- еутиреоидна 
E01.1, нодозна струма І в гр 
E01.1," струма нодоза гр1б-2/ базедовификата, в терапевтична ремисия "
E01.1," струма нодоза гр І-б-ІІ, базедовификата, в терапевтичвна ремисия "
E01.1, струма нодоза І в (еутиреоидно състояние) 
E01.1, нодозна еутиреоидна струма - Іб ст 
E01.1, нодозна еутиреоидна струма 
E01.1, струма нодоза iІ гр еутиоридес 
E01.1, струма нодоза 
E01.1," нодозна струма , еутиреоидна "
E01.1, струма нодоза гр1б/ хашимото- в субклиничен хипотиреоидизъм 
E01.1, струма нодоза І б еутироидес хроничен пиелонефрит 
E01.1, струма нодоза І в- еутиреоидно състояние 
E01.1, струма нодоза гр 1б/ еутиреоидес 
E01.1, струма нодоза І б еутироидес 
E01.1, струма нодоза І б гр 
E01.1, нодозна еутиреоидна струма iб ст 
E01.1," струма нодоза гр 1б/ базедовификата - хронично рецидивиращо протичане, в терапевтична ремисия "
E01.1, струма нодоза І б еутроидес / дд тиреоидт на хашимото-нодозен вариант или тумор регио коли декстра/ желязодефицитна анемия 
E01.1, рецидивна нодозна струма 
E01.1, нодозна струма І б ст 
E01.1, нодозна струма І в ст 
E01.1, нодозна струма Ібст еутиреоидна 
E01.1, нодозна еутиреоидна струма І б ст 
E01.1, струма нодоза Ів - еутиреоидно състояние 
E01.1, струма нодозна гр 2/ базедовификата в непълна терапевтична ремисия 
E01.1," струма нодоза, еутиреоидна "
E01.1, струма нодоза гр. ii 
E01.1, нодозна струма в еутироидно състояние и е препоръчана оперативна интервенция 
E01.1, струмата е с голяма давност /от детска възраст/ 
E01.1, струма нодоза гр 1б/ еутиреоидес / обс 
E01.1, струма нодоза Ів- ст 
E01.1, струма нодоза еутиреоидес 
E01.1, сдтрума нодоза гр 
E01.1, нодозна еутиреоидна струма ІІ ст 
E01.1, нодозна струма ІІ ст 
E01.1, струма нодоза гр. ib 
E01.1, нодозна струма- еутиреоидна 
E01.1, нодозна еутиреоидна струма-Іб ст 
E01.1," І-б, базедовификата, в начална терапевтична ремисия "
E01.1, струма нодоза І б 
E01.1, струма нодоза ib ст 
E01.1, струма нодоза гр. i b 
E01.1," струма нодоза гр 1б/ базедовификата- средно тежка форма, в субклиничен хипертиреоидизъм "
E01.1," струма нодоза гр 1б/ базедовификата- средно тежка форма, в терапевтична ремисия "
E01.1, нодозна рецидивна струма- еутиреоидна 
E01.1," струма нодоза, еутироидес "
E01.1, струма нодаза
E01.1," ІІ-ІІІ, базедовификата, активна "
E01.1," струма нодоза гр1б/базедовификата, в непълна терапевтична ремисия "
E01.1, струма нодоза гр i b еутироидес 
E01.1, нодозна еутиреоидна струма от І-б степен 
E01.1," І-б, базедовификата в терапевтична ремисия "
E01.1," струма нодоза гр 2/ базедовификата, в непълна терапевтична ремисия "
E01.1, струма нодоза рецидива І б гр 
E01.1, струма нодоза гр1б/ рецидива постоператива базедовификата- в начална терапевтична ремисия 
E01.1, струма нодоза гр. ІІ 
E01.1, струма нодоза гр1б/ рецидива постоператива еутиреоидес 
E01.1, струма нодоза І б еутиридес 
E01.1, струма нодоза гр 1б/ базедовификата- акт 
E01.1, струма нодоза гр. Іб 
E01.1, струма нодоза гр 3/ базедовификата 
E01.1, струма нодоза- еутиреоидна 
E01.1, струма нодоза гр. І б 
E01.1, нодозна рецидивна базедовифицирана струма - ІІ ст 
E01.1," нодозна рецидивна струма, еутиреоидна "
E01.1, струма нодоза еутироидес 
E01.1, струма нодоза Іб 
E01.1, струма нодоза рецидива постоператива 
E01.1, струма нодоза рецидива гр 
E01.1, струма нодоза гр. І-б 
E01.1," струма нодоза І б, еутироидна "
E01.1, струма нодоза ІІ еутироидес 
E01.1," ІІ, базедовификата, актива"
E01.1, базедовифицирана нодозна струма - за оперативно лечение 
E01.1, нодозна струма Іб ст 
E01.1, нодозна струма 
E01.1, нодозна струма ib в еутиреоиден стадий 
E01.1," струма пермагна базедовификата, актива"
E01.1, нодозна струма-еутиреоидно състояние 
E01.1, струма нодоза рецидива 
E01.1, нодозна рецидивна еутироидна струма І б 
E01.1, нодозна рецидивна струма 
E01.1, струма нодоза -ii ст 
E01.1, струма нодоза _ І б еутиреоидес 
E01.1, струма нодоза гр 1б/ рецидива постоператива- еутиреоидна 
E01.1," струма нодоза гр 1б/ базедовификата- средно тежка форма, акт "
E01.1," струма нодоза рецидива, еутироидес "
E01.1, струма полинодоза гр. І-б 
E01.1, струма нодоза гр. ii. а 
E01.1, струма нодоза І б еутироидна 
E01.1, струма нодоза гр. 1б 
E01.1, нодозна еутиреоидна струма Ібст 
E01.1, нодозна струма iiiст 
E01.1, тиреоидеа про струма нодоза 
E01.1, струма нодоза рецидива гр. i b 
E01.1, нодозна струма Ібст 
E01.1, струма нодоза ІІ гр 
E01.1, нодозна еутиреоидна струма- 2ст 
E01.1, струма нодоза І бгр еутироидес 
E01.1, нодозна еутиреоидна струма iбст 
E01.1, нодозна струма ІІст 
E01.1, базедовифицирана нодозна струма 
E01.1, струма нодоза рецидива гр. ii 
E01.1, струма нодоза І б рецидива еутироидес 
E01.1, нодозна еутиридна струма ІІгр 
E01.1, нодозна струма ІІІ ст-частично ретростернална 
E01.1, струма нодоза гр. iб. ибс 
E01.1, нодозна еутиреоидна струма 1бст 
E01.1, нодозна струма гр. 1б 
E01.1, струма нодоза гр б. хобб 
E01.1, струма нодоза гр 1б/ в субклиничен хипертиреоидизъм 
E01.1, струма нодоза гр ii 
E01.1, струма нодоза гр І б рецидива /еутироидес/ 
E01.1, струма нодоза рецидива І б гр еутироидес 
E01.1, струма нодоза гр 1б/ хашимото - еутиреоидна фаза 
E01.1, нодозна еутиреоидна струма І бст 
E01.1," ІІІ, базедовификата (типус аденома токсикум) - в терапевтична ремисия "
E01.1, струма нодоза гр 1б/ базедовификата- средно тежка форма
E01.1, рецидивна нодозна струма-еутиреоидна 
E01.1, струма нозоза гр. ii 
E01.1, нодозна струма гр iб 
E01.1, нодозна струма-Іб 
E01.1, нодозна еутиреоидна струма Іб ст 
E01.1, струма нодоза гр 1б/-2/ еутиреоидес 
E01.1," струма нодоза рецидива, хипотиреоидна фаза "
E01.1, нодозна струма i в ст 
E01.1, струма нодоза гр. iа 
E01.1," струма нодоза гр Іб базедовификата (тип марин-ленарт), с хронично протрахирано протичане, фаза на субклиничен хипотиреоидизъм "
