icd,Latin,Transliterated
Q82,F-XP,ф-ксп
Q82,G-XP,г-ксп
Q82,B-XP,б-ксп
E75,et DG,ет дг
Q82,A-XP,а-ксп
Q82,-C XP,-к ксп
Q82,D-XP,д-ксп
Q82,E-XP,е-ксп
A66,Bouba,боуба
E76,MPSVI,мпсви
L93,lupus,лупус
I49,Sunds,сундс
G72,HOKPP,хокпп
E77,MANSB,мансб
E31,MEN2A,мен2а
D44,MEN2A,мен2а
I83,VARIX,варикс
Q87,SGBS1,сгбс1
C91,HCL-C,хкл-к
Q71,SHFM6,схфм6
E31,MEN2B,мен2б
D44,MEN2B,мен2б
Q78,CAEND,цаенд
E28,PCOS1,пкос1
Q77,PSACH,псах
B19,NANBH,нанбх
Q13,ASGD1,асгд1
A77,Choix,хоикс
F84,aspie,аспие
G60,COWCK,ковкк
E75,PLOSL,плосл
G23,NBIA3,нбиа3
Q20,d-TGA,д-тга
E31,XLAAD,кслаад
G93,CFIDS,кфидс
R53,CFIDS,кфидс
Q18,AGOTC,аготк
Q87,AGOTC,аготк
E71,MCADD,мкадд
Q43,GIDID,гидид
Q82,GIDID,гидид
C56,MOGCT,могкт
Q61,Arpkd,арпкд
Q61,Pkhd1,пкхд1
Q14,Xlrs1,кслрс1
Q20,C-TGA,к-тга
Q87,TRPS2,трпс2
E85,TRAPS,трапс
G12,PDALS,пдалс
Q87,MNKES,мнкес
G11,SPG20,спг20
M21,BRKS1,бркс1
Q87,GOSHS,госхс
E85,NOMID,номид
D48,HNPCC,хнпкк
M27,GCLSB,гклсб
L72,MRTES,мртес
P78,DIAR2,диар2
Q61,SLSN1,слсн1
C34,NSCLC,нсклк
M12,TSGCT,тсгкт
D75,ECYT2,ецит2
Q87,OCACS,окакс
G11,SCA31,ска31
Q87,MFDGA,мфдга
M34,lcSSc,лксск
H50,kreol,креол
L60,NDNC1,нднк1
G71,MYPCN,мипкн
G11,SCAR7,скар7
G60,Hmsn5,хмсн5
G11,LIKNS,ликнс
Q87,OFD10,офд10
D55,HNSHA,хнсха
E88,BSCL4,бскл4
Q71,SHFM3,схфм3
Q71,SHFM1,схфм1
Q71,SHFD1,схфд1
Q71,SHFM2,схфм2
L50,FCAS4,фкас4
E74,GSD9D,гсд9д
E74,GSD9B,гсд9б
E74,GSD9A,гсд9а
E74,GSD9C,гсд9к
H18,CHED2,хед2
D81,BLSII,блсии
H18,GCDII,гкдии
M11,PHPTC,фптк
N04,FSGS1,фсгс1
N04,FSGS2,фсгс2
N04,FSGS5,фсгс5
N04,FSGS6,фсгс6
N04,FSGS7,фсгс7
N04,FSGS8,фсгс8
N04,FSGS9,фсгс9
E88,BSCL1,бскл1
E88,BSCL3,бскл3
H18,CDGDL,кдгдл
G11,CAMRQ,камрк
Q87,OFD11,офд11
I42,ARVD9,арвд9
I42,ARVC9,арвк9
Q77,SRTD7,сртд7
Q77,SRPS5,српс5
Q77,SRPS6,српс6
Q77,SRTD8,сртд8
Q13,RIEG3,риег3
Q87,MOPD1,мопд1
I42,ARVC2,арвк2
I42,ARVD2,арвд2
K00,AIGFS,аигфс
I42,ARVD4,арвд4
I42,ARVC4,арвк4
I42,ARVC5,арвк5
I42,ARVD5,арвд5
I42,ARVD3,арвд3
I42,ARVC3,арвк3
I42,ARVC8,арвк8
I42,ARVD8,арвд8
I42,ARVC6,арвк6
I42,ARVD6,арвд6
E88,MMDS1,ммдс1
E88,MMDS2,ммдс2
G31,MMDS3,ммдс3
Q87,MRD25,мрд25
G11,SPG23,спг23
E79,APRTD,апртд
C94,ANKCL,анккл
E20,PHP1A,фп1а
G60,CMT2P,кмт2п
G60,CMT2Q,кмт2к
G60,CMT2Y,кмт2и
G60,CMT2U,кмт2у
G60,CMT2L,кмт2л
G60,CMT2S,кмт2с
G60,CMT2N,кмт2н
G60,CMT2V,кмт2в
G60,CMT2O,кмт2о
G60,CMT4K,кмт4к
G60,CMT2C,кмт2к
K00,AIHHT,аиххт
K00,AI2A1,аи2а1
K00,AI2A3,аи2а3
K00,AI2A2,аи2а2
Q04,gamos,гамос
E77,mansa,манза
C81,LRCHL,лрхл
Q87,BBS13,ббс13
Q87,BBS16,ббс16
Q87,BBS17,ббс17
Q87,BBS14,ббс14
Q87,BBS15,ббс15
Q87,BBS19,ббс19
Q87,BBS18,ббс18
H35,LCA15,лка15
Q12,CTAA1,ктаа1
Q12,CTPP5,ктпп5
Q12,CATC3,катк3
Q87,MRD18,мрд18
G11,MRD19,мрд19
Q87,MRD23,мрд23
Q87,MRD21,мрд21
F84,MRD26,мрд26
G40,MRD31,мрд31
Q87,HVDAS,хвдас
Q87,MRD28,мрд28
E03,CHNG2,хнг2
E03,CHNG5,хнг5
E03,CHNG4,хнг4
E03,CHNG6,хнг6
E03,CHNG1,хнг1
E03,CHNG3,хнг3
Q82,ADCL1,адкл1
Q82,ADCL3,адкл3
Q82,ADCL2,адкл2
G60,HSAN7,хсан7
G60,HSAN6,хсан6
G60,HSAN2,хсан2
G60,HSN1E,хсн1е
G60,CMT2J,кмт2й
G60,CMT2T,кмт2т
G60,CMT2I,кмт2и
G60,CMT2B,кмт2б
G60,CMT2F,кмт2ф
G60,CMT2D,кмт2д
G60,CMT2R,кмт2р
G60,CMT2H,кмт2х
G60,CMT2E,кмт2е
Q12,CTAA2,ктаа2
Q12,CATC1,катк1
G11,Frda1,фрда1
E72,CPS1D,кпс1д
K00,AI2A4,аи2а4
K00,AI2A5,аи2а5
D47,ALPS3,алпс3
D47,CVID9,квид9
Q87,BBS12,ббс12
Q87,BBS10,ббс10
Q87,BBS11,ббс11
E71,MGCA1,мгка1
E71,MGCA7,мгка7
E71,MGCA5,мгка5
E71,MGCA6,мгка6
E71,MGCA4,мгка4
J84,RBILD,рбилд
G12,DHMN6,дхмн6
G12,DSMA1,дзма1
C81,MCCHL,мкхл
Q12,CATC2,катк2
Q12,CATC5,катк5
Q12,CCSSO,ккссо
Q87,BSTVS,бствс
Q77,SRTD4,сртд4
Q77,SRTD5,сртд5
Q77,SRPS1,српс1
Q77,SRPS3,српс3
Q77,SRTD3,сртд3
Q77,SRTD6,сртд6
Q13,RIEG1,риег1
Q13,RIEG2,риег2
H35,LCA16,лка16
G60,CMT1F,кмт1ф
G60,CMT1D,кмт1д
G60,CMT1E,кмт1е
G60,CMT4C,кмт4к
G60,CMT4D,кмт4д
G60,HMSNL,хмснл
G60,CMT4J,кмт4й
G60,CMT4A,кмт4а
Q84,NDNC7,нднк7
P78,DIAR5,диар5
Q87,SRTD9,сртд9
G60,CMTX6,кмткс6
G60,CMT6X,кмт6кс
G60,CMT5X,кмт5кс
G60,CMTX5,кмткс5
G60,CMTX3,кмткс3
G60,CMT3X,кмт3кс
G60,CMTX2,кмткс2
G60,CMTX1,кмткс1
